#"Progress (%)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
1190.0%,2190.1884765625,298.9147172349849,0.30085906306723326,396
1200.0%,2217.7705078125,275.7023133614468,0.30085906306723326,396
1210.0%,2153.6953125,300.10972335881553,0.30085906306723326,396
1220.0%,2165.251953125,302.1644318656023,0.30085906306723326,396
1230.0%,2222.900390625,295.5590822503196,0.30085906306723326,396
1240.0%,2213.693359375,320.47702403954065,0.30085906306723326,396
1250.0%,2183.041015625,333.7169356317719,0.30085906306723326,396
1260.0%,2168.5419921875,334.7849352413641,0.30085906306723326,396
1270.0%,2216.880859375,297.94428023424564,0.30085906306723326,396
1280.0%,2171.453125,306.5713368202808,0.30085906306723326,395
1290.0%,2172.919921875,284.01555327300406,0.30085906306723326,394
1300.0%,2241.58984375,286.07672578661766,0.30085906306723326,394
1310.0%,2172.4482421875,294.571165053033,0.30085906306723326,394
1320.0%,2108.310546875,322.3608907980798,0.30085906306723326,395
1330.0%,2197.9921875,314.386866601689,0.30085906306723326,395
1340.0%,2118.693359375,320.08327433391355,0.30085906306723326,395
1350.0%,2176.880859375,294.52366944032883,0.30085906306723326,395
1360.0%,2126.0634765625,287.4568951021973,0.30085906306723326,395
1370.0%,2146.5537109375,287.08873025222124,0.30085906306723326,395
1380.0%,2120.7568359375,293.87439071361206,0.30085906306723326,395
1390.0%,2177.4453125,304.5235505137452,0.30085906306723326,395
1400.0%,2205.380859375,315.97497702232585,0.30085906306723326,395
1410.0%,2183.8603515625,323.67491108421854,0.30085906306723326,395
1420.0%,2123.978515625,318.39342822343997,0.30085906306723326,395
1430.0%,2216.6630859375,300.8332348088404,0.30085906306723326,395
1440.0%,2191.4033203125,290.01733126510777,0.30085906306723326,395
1450.0%,2186.548828125,293.0523164159458,0.30085906306723326,395
1460.0%,2118.953125,286.37412994257727,0.30085906306723326,395
1470.0%,2145.56640625,288.246335675207,0.30085906306723326,395
1480.0%,2119.0966796875,307.71344427812335,0.30085906306723326,395
1490.0%,2231.5849609375,264.12949786474275,0.30085906306723326,395
1500.0%,2208.671875,278.30765089449176,0.30085906306723326,395
1510.0%,2237.646484375,284.48089082421444,0.30085906306723326,395
1520.0%,2139.578125,305.82448163947447,0.30085906306723326,395
1530.0%,2173.591796875,308.5872644164445,0.30085906306723326,395
1540.0%,2217.6005859375,297.38348349043235,0.30085906306723326,395
1550.0%,2199.7841796875,334.0542765647166,0.30085906306723326,395
1560.0%,2195.4287109375,334.95916652837155,0.30085906306723326,395
