#"Progress (%)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
3390.0%,1963.0732421875,296.39665542011437,0.30085906306723326,392
3400.0%,1979.349609375,286.95271996304774,0.30085906306723326,392
3410.0%,1912.0,298.9475077093873,0.30085906306723326,392
3420.0%,1944.9404296875,288.8847771498811,0.30085906306723326,392
3430.0%,1944.328125,309.64684634983655,0.30085906306723326,392
3440.0%,2030.4814453125,296.1973784077825,0.30085906306723326,392
3450.0%,1919.607421875,317.5143375455853,0.30085906306723326,392
3460.0%,2015.1650390625,312.54280014255414,0.30085906306723326,392
3470.0%,1989.7314453125,322.1279179385017,0.30085906306723326,392
3480.0%,2016.3935546875,343.836246189155,0.30085906306723326,392
3490.0%,2000.6513671875,319.3940111905312,0.30085906306723326,392
3500.0%,1973.8740234375,279.5295876240939,0.30085906306723326,393
3510.0%,1936.3212890625,293.1113731316545,0.30085906306723326,393
3520.0%,1971.4892578125,272.09592445993707,0.30085906306723326,393
3530.0%,1955.4501953125,281.11297513974824,0.30085906306723326,393
3540.0%,1971.8076171875,296.3836166425099,0.30085906306723326,393
3550.0%,1983.51953125,301.44657682472797,0.30085906306723326,393
3560.0%,1935.3408203125,294.37785682998754,0.30085906306723326,393
3570.0%,1946.4755859375,298.0323384049441,0.30085906306723326,393
3580.0%,2003.599609375,286.83593467864614,0.30085906306723326,393
3590.0%,1960.76171875,298.32031853869927,0.30085906306723326,393
3600.0%,1965.248046875,320.13430145440515,0.30085906306723326,393
3610.0%,2016.4541015625,296.99089595589544,0.30085906306723326,393
3620.0%,2024.474609375,284.0221193038569,0.30085906306723326,393
3630.0%,1984.537109375,304.0355756336876,0.30085906306723326,393
3640.0%,1979.767578125,279.1145285856684,0.30085906306723326,393
3650.0%,1958.896484375,308.3644090610868,0.30085906306723326,393
3660.0%,1967.0537109375,304.51105435743335,0.30085906306723326,393
3670.0%,1990.0712890625,297.3089843374467,0.30085906306723326,393
3680.0%,1973.2080078125,282.2282119022404,0.30085906306723326,393
3690.0%,1913.9931640625,316.777929158956,0.30085906306723326,393
3700.0%,1971.4638671875,283.00196830336796,0.30085906306723326,393
3710.0%,1945.4599609375,289.6709968985912,0.30085906306723326,393
3720.0%,1892.173828125,301.57162789655877,0.30085906306723326,393
3730.0%,1984.921875,291.19044721145207,0.30085906306723326,393
3740.0%,1972.1025390625,317.3364261812362,0.30085906306723326,393
3750.0%,1998.013671875,298.9955055281599,0.30085906306723326,393
3760.0%,1970.2587890625,306.5507155150521,0.30085906306723326,393
3770.0%,2008.99609375,316.89723445521633,0.30085906306723326,393
3780.0%,2014.4736328125,305.20225034617573,0.30085906306723326,393
3790.0%,2001.4931640625,294.4110842157719,0.30085906306723326,393
3800.0%,1981.4921875,298.8658549016485,0.30085906306723326,393
3810.0%,2030.5947265625,292.5911286156157,0.30085906306723326,393
3820.0%,1978.8798828125,318.24104327357867,0.30085906306723326,393
3830.0%,1982.5244140625,312.8041188813717,0.30085906306723326,393
3840.0%,1992.857421875,290.59474216696844,0.30085906306723326,393
3850.0%,1995.3154296875,304.34581566965693,0.30085906306723326,393
3860.0%,2026.6005859375,311.7982920233537,0.30085906306723326,393
3870.0%,1973.517578125,335.1626550794236,0.30085906306723326,393
3880.0%,1999.4609375,310.3454896470337,0.30085906306723326,393
3890.0%,2028.419921875,306.5070876569976,0.30085906306723326,393
3900.0%,2043.572265625,293.8291458228222,0.30085906306723326,393
3910.0%,2041.1083984375,282.20393952796195,0.30085906306723326,393
3920.0%,1989.6474609375,292.142777607004,0.30085906306723326,393
